Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
5000,World,2617,Apples and products,641,Food supply quantity (tonnes),2013,2013,tonnes,70666583.1,A
5000,World,2617,Apples and products,646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,27.67,Fc
5000,World,2617,Apples and products,645,Food supply quantity (kg/capita/yr),2013,2013,kg,10.1,Fc
5000,World,2617,Apples and products,664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,12.0,Fc
5000,World,2617,Apples and products,674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,0.07,Fc
5000,World,2617,Apples and products,684,Fat supply quantity (g/capita/day),2013,2013,g/capita/day,0.06,Fc
5000,World,2615,Bananas,641,Food supply quantity (tonnes),2013,2013,tonnes,85948248.21,A
5000,World,2615,Bananas,646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,33.65,Fc
5000,World,2615,Bananas,645,Food supply quantity (kg/capita/yr),2013,2013,kg,12.28,Fc
5000,World,2615,Bananas,664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,21.0,Fc
5000,World,2615,Bananas,674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,0.27,Fc
5000,World,2615,Bananas,684,Fat supply quantity (g/capita/day),2013,2013,g/capita/day,0.07,Fc
5000,World,2513,Barley and products,641,Food supply quantity (tonnes),2013,2013,tonnes,6794174.18,A
5000,World,2513,Barley and products,646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,2.66,Fc
5000,World,2513,Barley and products,645,Food supply quantity (kg/capita/yr),2013,2013,kg,0.97,Fc
5000,World,2513,Barley and products,664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,7.0,Fc
5000,World,2513,Barley and products,674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,0.19,Fc
5000,World,2513,Barley and products,684,Fat supply quantity (g/capita/day),2013,2013,g/capita/day,0.03,Fc
5000,World,2546,Beans,641,Food supply quantity (tonnes),2013,2013,tonnes,17416335.39,A
5000,World,2546,Beans,646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,6.82,Fc
5000,World,2546,Beans,645,Food supply quantity (kg/capita/yr),2013,2013,kg,2.49,Fc
5000,World,2546,Beans,664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,23.0,Fc
5000,World,2546,Beans,674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,1.47,Fc
5000,World,2546,Beans,684,Fat supply quantity (g/capita/day),2013,2013,g/capita/day,0.1,Fc
5000,World,2656,Beer,641,Food supply quantity (tonnes),2013,2013,tonnes,187049596.0,A
5000,World,2656,Beer,646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,73.24,Fc
5000,World,2656,Beer,645,Food supply quantity (kg/capita/yr),2013,2013,kg,26.73,Fc
5000,World,2656,Beer,664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,33.0,Fc
5000,World,2656,Beer,674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,0.32,Fc
5000,World,2658,"Beverages, Alcoholic",641,Food supply quantity (tonnes),2013,2013,tonnes,21250175.0,A
5000,World,2658,"Beverages, Alcoholic",646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,8.32,Fc
5000,World,2658,"Beverages, Alcoholic",645,Food supply quantity (kg/capita/yr),2013,2013,kg,3.04,Fc
5000,World,2658,"Beverages, Alcoholic",664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,24.0,Fc
5000,World,2658,"Beverages, Alcoholic",674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,0.0,Fc
5000,World,2657,"Beverages, Fermented",641,Food supply quantity (tonnes),2013,2013,tonnes,29406361.0,A
