Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
2,Afghanistan,1062,"Eggs, hen, in shell",5313,Laying,2019,2019,1000 Head,10517.0,Im
2,Afghanistan,1062,"Eggs, hen, in shell",5410,Yield,2019,2019,100mg/An,21070.0,Fc
2,Afghanistan,1062,"Eggs, hen, in shell",5510,Production,2019,2019,tonnes,22159.0,Im
2,Afghanistan,1067,"Eggs, hen, in shell (number)",5513,Production,2019,2019,1000 No,443181.0,Im
2,Afghanistan,1129,"Fat, camels",5320,Producing Animals/Slaughtered,2019,2019,Head,20370.0,Im
2,Afghanistan,1129,"Fat, camels",5510,Production,2019,2019,tonnes,257.0,Im
2,Afghanistan,869,"Fat, cattle",5320,Producing Animals/Slaughtered,2019,2019,Head,529954.0,Im
2,Afghanistan,869,"Fat, cattle",5510,Production,2019,2019,tonnes,2340.0,Im
2,Afghanistan,1019,"Fat, goats",5320,Producing Animals/Slaughtered,2019,2019,Head,3664553.0,Im
2,Afghanistan,1019,"Fat, goats",5510,Production,2019,2019,tonnes,1751.0,Im
2,Afghanistan,979,"Fat, sheep",5320,Producing Animals/Slaughtered,2019,2019,Head,5396671.0,Im
2,Afghanistan,979,"Fat, sheep",5510,Production,2019,2019,tonnes,4849.0,Im
2,Afghanistan,919,"Hides, cattle, fresh",5320,Producing Animals/Slaughtered,2019,2019,Head,529954.0,Im
2,Afghanistan,919,"Hides, cattle, fresh",5420,Yield,2019,2019,hg/An,295.0,Fc
2,Afghanistan,919,"Hides, cattle, fresh",5510,Production,2019,2019,tonnes,15660.0,Im
2,Afghanistan,1182,"Honey, natural",5510,Production,2019,2019,tonnes,1239.0,Im
2,Afghanistan,1127,"Meat, camel",5320,Producing Animals/Slaughtered,2019,2019,Head,20370.0,Im
2,Afghanistan,1127,"Meat, camel",5417,Yield/Carcass Weight,2019,2019,hg/An,1800.0,Fc
2,Afghanistan,1127,"Meat, camel",5510,Production,2019,2019,tonnes,3667.0,Im
2,Afghanistan,867,"Meat, cattle",5320,Producing Animals/Slaughtered,2019,2019,Head,529954.0,Im
2,Afghanistan,867,"Meat, cattle",5417,Yield/Carcass Weight,2019,2019,hg/An,1800.0,Fc
2,Afghanistan,867,"Meat, cattle",5510,Production,2019,2019,tonnes,95398.0,Im
2,Afghanistan,1058,"Meat, chicken",5321,Producing Animals/Slaughtered,2019,2019,1000 Head,35616.0,Im
2,Afghanistan,1058,"Meat, chicken",5424,Yield/Carcass Weight,2019,2019,0.1g/An,8000.0,Fc
2,Afghanistan,1058,"Meat, chicken",5510,Production,2019,2019,tonnes,28493.0,Im
2,Afghanistan,1163,"Meat, game",5510,Production,2019,2019,tonnes,8015.0,Im
2,Afghanistan,1017,"Meat, goat",5320,Producing Animals/Slaughtered,2019,2019,Head,3664553.0,Im
2,Afghanistan,1017,"Meat, goat",5417,Yield/Carcass Weight,2019,2019,hg/An,130.0,Fc
2,Afghanistan,1017,"Meat, goat",5510,Production,2019,2019,tonnes,47670.0,Im
2,Afghanistan,977,"Meat, sheep",5320,Producing Animals/Slaughtered,2019,2019,Head,5396671.0,Im
2,Afghanistan,977,"Meat, sheep",5417,Yield/Carcass Weight,2019,2019,hg/An,160.0,Fc
2,Afghanistan,977,"Meat, sheep",5510,Production,2019,2019,tonnes,86203.0,Im
