Country,COC,HA,RAT
American Samoa,0.0,0.0,
United States Minor Outlying Islands,0.0,0.0,
Cook Islands,0.0,0.0,
French Polynesia,0.0,0.0,
Niue,0.0,0.0,
Pitcairn,0.0,0.0,
Samoa,0.0,0.0,
Tokelau,0.0,0.0,
Tonga,0.0,0.0,
Wallis and Futuna,0.0,0.0,
El Salvador,0.15714122984375,1211896.375,0.12966556636804036
Guatemala,0.5303456472536011,3385797.5,0.15663832442832187
Mexico,4.230980098702159,74918336.0,0.056474560496140205
Canada,1.593491406312835,42504704.0,0.03748976598714427
Argentina,2.6755927722106834,111904992.0,0.023909503270512573
Falkland Islands,0.0,0.0,
Chile,0.7539206782020683,13720251.0,0.05494948147829572
Ecuador,0.830157834550293,6238098.0,0.13307867791597583
Peru,1.0403068374005005,18143922.0,0.057336381704049456
Bolivia,3.2267834934892754,33984820.0,0.09494778826220869
Brazil,20.8161065435112,201876000.0,0.10311332968510968
Paraguay,1.8045437050968123,22691272.0,0.07952589458611277
Uruguay,0.5980286640755005,13891486.0,0.04305001380525456
South Georgia and South Sandwich Islands,0.0,0.0,
Antarctica,0.0,0.0,
Fiji,0.0,0.0,
Saint Helena,0.0,0.0,
Anguilla,0.0,0.0,
Antigua and Barbuda,0.0,0.0,
Aruba,0.0,0.0,
Bahamas,0.0,0.0,
Barbados,0.0,0.0,
Belize,0.013696053386657714,76791.8125,0.178353042346249
Bermuda,0.0,0.0,
Bonaire,0.0,0.0,
British Virgin Islands,0.0,0.0,
Cayman Islands,0.0,0.0,
Colombia,5.048442194873211,35862508.0,0.14077214551958306
Costa Rica,0.41701990447021486,2423538.25,0.17207069229058583
Cuba,0.4782777518455811,3307830.5,0.1445895585779202
Curacao,0.0,0.0,
Dominica,0.0,0.0,
Dominican Republic,0.4262731164230957,2601853.75,0.16383438785638726
French Guiana,0.001965392837722778,9950.5576171875,0.19751584919502144
Grenada,0.0,0.0,
Guadeloupe,0.0,0.0,
Guyana,0.1619769351913452,1318407.875,0.12285798519774861
Haiti,0.10046802220800781,673619.5625,0.14914653285177984
Honduras,0.3330823908828125,2163570.5,0.15395032927413851
Jamaica,0.04858643632421875,290769.40625,0.16709610873726077
Martinique,0.0,0.0,
Montserrat,0.0,0.0,
Nicaragua,0.8717848482265625,5318568.5,0.16391343802877834
Panama,0.285741290960968,1735401.75,0.16465426000692232
Puerto Rico,0.03341367897265625,204443.3125,0.16343737813706305
Saba,0.0,0.0,
Saint Barthelemy,0.0,0.0,
Saint Eustatius,0.0,0.0,
Saint Kitts and Nevis,0.0,0.0,
Saint Lucia,0.0,0.0,
Saint Martin,0.0,0.0,
Saint Pierre and Miquelon,0.0,0.0,
Saint Vincent and the Grenadines,0.0,0.0,
Sint Maarten,0.0,0.0,
Suriname,0.006720035892150879,37663.2421875,0.1784242540431419
Trinidad and Tobago,0.00920738315258789,48767.6171875,0.18880116937408836
Turks and Caicos Islands,0.0,0.0,
US Virgin Islands,0.0,0.0,
Venezuela,2.239825799858947,20733818.0,0.10802765799617546
Burkina Faso,0.30937248876208495,6871716.5,0.045021136823977674
Cabo Verde,0.0,0.0,
Côte d'Ivoire,1.779092206553711,12558445.0,0.1416650076146936
Gambia,0.027256669370605467,462725.5625,0.058904611241583325
Ghana,0.8978963146953125,9815648.0,0.09147601000925384
Gibraltar,0.0,0.0,
Guinea,0.474577236568573,5386638.5,0.0881026704443918
Guinea-Bissau,0.05547300988931465,1090889.875,0.05085115478710869
Liberia,0.021836272108398436,121532.1328125,0.17967488599979956
Mali,0.7460207073364391,29943158.0,0.02491456336490757
Mauritania,0.07996725003931737,10507118.0,0.007610769198491667
Morocco,0.4167164791772766,15993547.0,0.02605528837207135
Portugal,0.13367568509472658,2102221.75,0.0635878137473968
Senegal,0.19439634755278015,5845790.0,0.03325407644694389
Sierra Leone,0.03465479336469269,258888.53125,0.13385990177845195
Greenland,0.0,0.0,
Guernsey,0.0,0.0,
Ireland,0.40601814307910156,3917004.75,0.10365525930983402
Isle of Man,0.0,0.0,
Jersey,0.0,0.0,
United Kingdom,1.283208453553833,12061249.0,0.10639100921918063
Iceland,0.0,0.0,
Faroe Islands,0.0,0.0,
Svalbard,0.0,0.0,
Bouvet Island,0.0,0.0,
New Zealand,0.4844436383668747,10049294.0,0.04820673356425583
