Area,Category,Domestic Production,Export Quantity,Import Quantity,Consumption,Emissions|CO2|Livestock|Domestic,Emissions|CH4|Livestock|Domestic,Emissions|N2O|Livestock|Domestic,Import Quantity Detailed,Emissions|CO2|Livestock|Import,Emissions|CH4|Livestock|Import,Emissions|N2O|Livestock|Import,Export Quantity Detailed,Emissions|CO2|Livestock|Export,Emissions|CH4|Livestock|Export,Emissions|N2O|Livestock|Export,Emissions|CO2|Livestock,Emissions|CH4|Livestock,Emissions|N2O|Livestock,Land Use|Consumption,Land Use|Domestic,Land Use|Import,Land Use|Export,Land Use,Species,Product Type,Conversion,Protein Consumption,Land Use|Soy Replacement,Land Use|Recovered,Emissions|CO2|Soy Replacement,Emissions|CH4|Soy Replacement,Emissions|N2O|Soy Replacement,Emissions|CO2|Crop Replacement,Emissions|CH4|Crop Replacement,Emissions|N2O|Crop Replacement
Brunei Darussalam,cow_milk,50.0,991.5,59242.5,58301.0,2.9763215516977608e-08,2.139800976456679e-06,9.470213615822663e-08,59229.0,3.272509352942093e-05,0.002275518237137507,0.00010645076487963231,140.0,8.33370034475373e-08,5.9914427340787005e-06,2.6516598124303447e-07,3.267151974149037e-05,0.0022716665953798846,0.00010628030103454752,0.0005188789,4.4500000000000003e-07,0.0005271381000000002,1.246e-06,0.0005263371000000001,Cattle,Milk,29.656718945182533,1965.8614328767637,1.9658614328767636e-05,0.0005066784856712325,1.8229286742345086e-05,7.954597851205127e-07,2.5000164675216117e-06,-0.0,0.00024085100250369386,1.0358443125408839e-05
Cambodia,cow_milk,24259.0,7482.0,77392.0,94169.0,1.4440516904527196e-05,0.0010381886377572515,4.594758242124839e-05,77396.0,3.933001541907148e-05,0.002715296964751804,0.00011404428282117019,0.0,0.0,0.0,0.0,5.3770532323598675e-05,0.0037534856025090556,0.00015999186524241857,0.0008381041,0.0002159051,0.0006888244000000001,0.0,0.0009047295000000001,Cattle,Milk,29.656718945182533,3175.3006856241227,3.175300685624123e-05,0.0008729764931437589,2.944432691102887e-05,1.2848433561176236e-06,4.038079119226817e-06,-0.0,0.00038902759909384654,1.6731174948570777e-05
"China, Taiwan Province of",cow_milk,431879.0,6641.0,1281455.0,1706693.0,0.00025708215508513544,0.018482702118222685,0.000817997277237575,1281453.0,0.0005943841191776459,0.03657421011420071,0.0019656403222747107,28648.0,1.70531319626075e-05,0.0012260203674706197,5.426053593321751e-05,0.0008344131423001739,0.053830891864952775,0.002729377063579068,0.0151895677,0.0038437231000000003,0.0114049317,0.0002549672,0.014993687600000001,Cattle,Milk,29.656718945182533,57548.27441142935,0.0005754827441142935,0.014418204855885708,0.0005336408651335854,2.3286146842192814e-05,7.3185032932606e-05,-0.0,0.007050628977479576,0.0003032312031188725
"China, mainland",cow_milk,32012400.0,99186.0,13855143.5,45768357.5,0.019055839208313878,1.370003295574436,0.06063285327103228,13855111.0,0.006399400989012438,0.3779666448334543,0.021889467906858282,279454.0,0.0001663489925816292,0.011959518841494503,0.0005292978151592211,0.025288891204744687,1.7360104215663956,0.08199302336273134,0.40733838175000003,0.28491036000000003,0.12331048790000002,0.0024871406,0.4057337073,Cattle,Milk,29.656718945182533,1543271.1077917356,0.015432711077917357,0.39030099622208264,0.014310638112445073,0.0006244642085430576,0.0019626017982781814,-0.0,0.18907659880315011,0.008131746078234147
Democratic People's Republic of Korea,cow_milk,83346.0,0.0,28374.0,111720.0,4.961289920956032e-05,0.003566877043675167,0.00015786088480487112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.961289920956032e-05,0.003566877043675167,0.00015786088480487112,0.000994308,0.0007417794000000001,0.0,0.0,0.0007417794000000001,Cattle,Milk,29.656718945182533,3767.1058692130846,3.7671058692130846e-05,0.0007041083413078692,3.493209232868721e-05,1.5243094834336234e-06,4.790686947934246e-06,-0.0,0.0004615336615103116,1.9849492563947023e-05
"China, Hong Kong SAR",cow_milk,60.0,528853.0,1632102.0,1103309.0,3.571585862037313e-08,2.567761171748015e-06,1.1364256338987194e-07,1632099.0,0.0007734356245346482,0.049950949064253986,0.0025740100689169002,16428.0,9.779002090258163e-06,0.0007030530088246064,3.111533385614694e-05,0.0007636923383030103,0.04925046381660112,0.002543008377624143,0.0098194501,5.34e-07,0.014525681099999998,0.0001462092,0.014380005899999998,Cattle,Milk,29.656718945182533,37202.66567718957,0.00037202665677189573,0.014007979243228101,0.00034497754972316104,1.5053565806101573e-05,4.7311206819176377e-05,-0.0,0.004557950613563197,0.00019602688678155948
Indonesia,cow_milk,996442.0,47306.5,3315853.5,4264989.0,0.000593146359923364,0.04264375129164893,0.0018873037191555132,3315915.0,0.0014837394330924907,0.09414406155848748,0.004395159257877116,23734.0,1.412800314159893e-05,0.0010157207275044565,4.495320999158701e-05,0.002062757789874256,0.13577209212263197,0.006237509767041042,0.037958402100000004,0.008868333800000001,0.029511643500000004,0.00021123260000000001,0.03816874470000001,Cattle,Milk,29.656718945182533,143811.89665260693,0.0014381189665260692,0.03673062573347394,0.001333557013326489,5.819157876333769e-05,0.0001828878189704899,-0.0,0.017619369758961712,0.000757768237028427
Japan,cow_milk,7313530.0,9831.0,4049105.0,11352804.0,0.004353483391597625,0.3129899727069043,0.013852138277145503,4049105.0,0.0017882669230628381,0.11211104200552229,0.005741403359852599,27867.5,1.658852816838747e-05,0.00119261807422813,5.2782235587787604e-05,0.006125161786492076,0.42390839663819846,0.019540759401410316,0.10103995560000001,0.065090417,0.0360370345,0.00024802075,0.10087943075,Cattle,Milk,29.656718945182533,382807.14805250434,0.0038280714805250435,0.09705135926947496,0.0035497421904537186,0.00015489784103798045,0.00048682178611936716,-0.0,0.04690029715833254,0.002017073027013498
Lao People's Democratic Republic,cow_milk,8897.0,47.0,48514.0,57364.0,5.296066569090995e-06,0.00038075618575070155,1.6851298107994844e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.296066569090995e-06,0.00038075618575070155,1.6851298107994844e-05,0.0005105396000000001,7.91833e-05,0.0,0.0,7.91833e-05,Cattle,Milk,29.656718945182533,1934.2665689360847,1.9342665689360845e-05,5.984063431063915e-05,1.793630992071977e-05,7.826753419950445e-07,2.4598367891272833e-06,-0.0,0.00023698010167273105,1.0191964656626002e-05
Malaysia,cow_milk,40600.0,785093.5,2573469.5,1828976.0,2.4167730999785816e-05,0.0017375183928828235,7.689813456048002e-05,2573426.0,0.0011828059939226305,0.07386681489878422,0.003787787633060181,649834.0,0.00038682298784519257,0.02781030855469499,0.0012308133589649006,0.0008201507370772237,0.04779402473697204,0.0026338724086557605,0.0162778864,0.00036134000000000003,0.022903491400000003,0.005783522599999999,0.017481308800000005,Cattle,Milk,29.656718945182533,61671.55589196089,0.0006167155589196089,0.016864593241080396,0.0005718757473948533,2.4954578068139054e-05,7.842867392843704e-05,-0.0,0.007555800126159001,0.000324957442818095
