Area,Category,Primary Production,Emissions|CO2,Emissions|CH4,Emissions|N2O,Land Use,Species,Product Type,Conversion,Protein Production,Emissions|CO2|Replacement,Land Use|Replacement
Afghanistan,cattle_meat,95398.0,0.001007193734360679,0.15315806887599367,0.005176630444434093,0.02404436935074723,Cattle,Meat,6.506833636193064,14661.201643356331,2.932240328671266e-05,0.00011728961314685064
Albania,cattle_meat,36709.0,0.00014897365617102504,0.010762411038857481,0.0006949504487142426,0.009252235418945681,Cattle,Meat,6.506833636193064,5641.607278202558,1.1283214556405115e-05,4.513285822562046e-05
Algeria,cattle_meat,146902.0,0.000335761781118631,0.0919913121899443,0.009394685906705419,0.0370255764938832,Cattle,Meat,6.506833636193064,22576.572295145932,4.515314459029187e-05,0.00018061257836116747
Angola,cattle_meat,98690.0,9.008017605238834e-05,0.1260786447050068,0.006206956029698091,0.02487409391418315,Cattle,Meat,6.506833636193064,15167.131283494793,3.0334262566989585e-05,0.00012133705026795834
Antigua and Barbuda,cattle_meat,60.0,1.3146881225548642e-06,5.356554612990583e-05,2.255255154378613e-06,1.5122561909524663e-05,Cattle,Meat,6.506833636193064,9.221074850640264,1.8442149701280526e-08,7.37685988051221e-08
Argentina,cattle_meat,3135908.0,0.06871235001707965,2.799610410552346,0.11787121134428544,0.7903827145428944,Cattle,Meat,6.506833636193064,481940.70654536015,0.0009638814130907203,0.003855525652362881
Armenia,cattle_meat,68100.0,0.00015565055134837355,0.04264481327779884,0.004355135466138235,0.017164107767310494,Cattle,Meat,6.506833636193064,10465.9199554767,2.09318399109534e-05,8.37273596438136e-05
Australia,cattle_meat,2351793.0,0.007846434939989948,1.1666984855334186,0.07914744758774822,0.5927522540147789,Cattle,Meat,6.506833636193064,361434.3214368636,0.0007228686428737272,0.002891474571494909
Austria,cattle_meat,229610.0,0.0009318107601250118,0.06731747524127779,0.004346824280946831,0.057871524000765964,Cattle,Meat,6.506833636193064,35287.516607591846,7.057503321518369e-05,0.00028230013286073476
Azerbaijan,cattle_meat,137929.0,0.0003152529353440502,0.08637234141840701,0.008820844048590026,0.03476399736031379,Cattle,Meat,6.506833636193064,21197.560551232684,4.2395121102465366e-05,0.00016958048440986147
Bahamas,cattle_meat,18.0,3.9440643676645924e-07,1.6069663838971747e-05,6.765765463135839e-07,4.536768572857399e-06,Cattle,Meat,6.506833636193064,2.7663224551920793,5.532644910384159e-09,2.2130579641536636e-08
Bahrain,cattle_meat,827.0,1.8902056676226864e-06,0.0005178746047098333,5.288835580758181e-05,0.00020843931165294828,Cattle,Meat,6.506833636193064,127.09714835799163,2.5419429671598323e-07,1.016777186863933e-06
Bangladesh,cattle_meat,190722.0,0.0020136061909551296,0.3061973334049694,0.010349245389037077,0.04807008754180605,Cattle,Meat,6.506833636193064,29311.030627730204,5.862206125546041e-05,0.00023448824502184164
Barbados,cattle_meat,172.0,3.7687726179906104e-06,0.0001535545655723967,6.465064775885358e-06,4.3351344140637366e-05,Cattle,Meat,6.506833636193064,26.433747905168754,5.286749581033751e-08,2.1146998324135004e-07
Belarus,cattle_meat,328100.0,0.001505396755368542,0.07791291653542752,0.0036903630304821037,0.0826952093752507,Cattle,Meat,6.506833636193064,50423.91097491784,0.00010084782194983567,0.0004033912877993427
Belgium,cattle_meat,263750.0,0.0010703588170505286,0.07732670221195513,0.004993140124993366,0.0664762617272855,Cattle,Meat,6.506833636193064,40534.30819760616,8.106861639521233e-05,0.0003242744655808493
Belize,cattle_meat,1743.0,3.819168996021881e-05,0.0015560791150737645,6.551516223469871e-05,0.00043931042347169146,Cattle,Meat,6.506833636193064,267.87222441109964,5.357444488221992e-07,2.142977795288797e-06
Benin,cattle_meat,42811.0,3.907612135959871e-05,0.05469199370215874,0.00269253211660153,0.01079019996514434,Cattle,Meat,6.506833636193064,6579.390590512672,1.3158781181025345e-05,5.263512472410138e-05
Bhutan,cattle_meat,4234.0,4.4701757597466556e-05,0.006797535206408492,0.00022975170655290412,0.001067148785415457,Cattle,Meat,6.506833636193064,650.7005152935146,1.3014010305870293e-06,5.205604122348117e-06
Bolivia (Plurinational State of),cattle_meat,266499.0,0.005839384499545812,0.23791940796789623,0.010017054056445766,0.06716912710544022,Cattle,Meat,6.506833636193064,40956.787110346326,8.191357422069266e-05,0.0003276542968827706
Bosnia and Herzegovina,cattle_meat,11933.0,4.8426888204223536e-05,0.0034985385307877174,0.00022590764402481836,0.0030076255211059634,Cattle,Meat,6.506833636193064,1833.9181032115043,3.6678362064230088e-06,1.4671344825692035e-05
Botswana,cattle_meat,34000.0,3.103380267282606e-05,0.04343574749184548,0.002138377799267759,0.008569451748730642,Cattle,Meat,6.506833636193064,5225.275748696149,1.0450551497392299e-05,4.1802205989569197e-05
Brazil,cattle_meat,10200000.0,0.2234969808343269,9.10614284208399,0.38339337624436426,2.5708355246191927,Cattle,Meat,6.506833636193064,1567582.7246088448,0.0031351654492176896,0.012540661796870758
Brunei Darussalam,cattle_meat,1166.0,8.6521150645943e-06,0.00109075880682098,4.609851183393857e-05,0.00029388178644176264,Cattle,Meat,6.506833636193064,179.1962212641091,3.583924425282182e-07,1.4335697701128728e-06
Bulgaria,cattle_meat,17770.0,8.153276544620234e-05,0.004219788256124802,0.00019987123148938426,0.004478798752204221,Cattle,Meat,6.506833636193064,2730.975001597958,5.461950003195917e-06,2.1847800012783666e-05
Burkina Faso,cattle_meat,109228.0,9.969882936316015e-05,0.1395411713835088,0.0068697273605417275,0.027530119870892666,Cattle,Meat,6.506833636193064,16786.659396428913,3.3573318792857826e-05,0.0001342932751714313
Burundi,cattle_meat,14935.0,1.3632054203489917e-05,0.019079790846785655,0.0009393138950607052,0.003764257701979181,Cattle,Meat,6.506833636193064,2295.2792149052057,4.590558429810411e-06,1.8362233719241644e-05
Cabo Verde,cattle_meat,703.0,6.416695082057859e-07,0.0008980979554931582,4.421410567309513e-05,0.00017718601703993063,Cattle,Meat,6.506833636193064,108.04026033333508,2.1608052066667017e-07,8.643220826666807e-07
Cambodia,cattle_meat,56345.0,0.00041809899083581974,0.052709095171807996,0.0022276334899513453,0.01420134584653612,Cattle,Meat,6.506833636193064,8659.357707655428,1.7318715415310857e-05,6.927486166124343e-05
Cameroon,cattle_meat,80487.0,7.346522575669855e-05,0.10282391201106374,0.005062106292048943,0.02028616067353186,Cattle,Meat,6.506833636193064,12369.610858391381,2.4739221716782762e-05,9.895688686713105e-05
Canada,cattle_meat,1388625.0,0.0030059666958706923,0.5761077387294202,0.029949818007161944,0.34999279219356144,Cattle,Meat,6.506833636193064,213410.2510745056,0.0004268205021490112,0.0017072820085960447
Central African Republic,cattle_meat,97279.0,8.879227324146606e-05,0.12427606118409519,0.00611821335102848,0.024518461666610827,Cattle,Meat,6.506833636193064,14950.282339923904,2.9900564679847808e-05,0.00011960225871939123
Chad,cattle_meat,456896.0,0.00041703589135304515,0.5836946848833597,0.028735772440418878,0.11515730077023634,Cattle,Meat,6.506833636193064,70217.87024930223,0.00014043574049860444,0.0005617429619944178
Chile,cattle_meat,208313.0,0.004564443781229524,0.1859733268493179,0.0078299827829012,0.052503770650980185,Cattle,Meat,6.506833636193064,32014.496089357086,6.402899217871416e-05,0.00025611596871485666
"China, Hong Kong SAR",cattle_meat,3407.0,2.5281094361125885e-05,0.003187148589055814,0.0001346977957274689,0.0008587094737625088,Cattle,Meat,6.506833636193064,523.603366935523,1.047206733871046e-06,4.188826935484184e-06
"China, Macao SAR",cattle_meat,805.0,5.973372750427454e-06,0.0007530538932168859,3.1826159542298924e-05,0.00020289437228612257,Cattle,Meat,6.506833636193064,123.71608757942354,2.474321751588471e-07,9.897287006353884e-07
"China, Taiwan Province of",cattle_meat,6805.0,5.049540567286811e-05,0.006365877942038395,0.0002690397710376946,0.001715150563238589,Cattle,Meat,6.506833636193064,1045.82357264345,2.0916471452869e-06,8.3665885811476e-06
"China, mainland",cattle_meat,5931375.0,0.04401281217089024,5.548627373763115,0.23450048081391717,1.4949597607684475,Cattle,Meat,6.506833636193064,911560.8807036065,0.001823121761407213,0.007292487045628852
Colombia,cattle_meat,769960.0,0.01687095444737239,0.6873887983030382,0.02894093764442261,0.19406279613096017,Cattle,Meat,6.506833636193064,118330.97986664962,0.00023666195973329925,0.000946647838933197
Comoros,cattle_meat,1217.0,1.1108275839067443e-06,0.0015547442558110573,7.654134652084888e-05,0.0003067359640648586,Cattle,Meat,6.506833636193064,187.03413488715336,3.7406826977430673e-07,1.496273079097227e-06
Congo,cattle_meat,6179.0,5.6399372563350655e-06,0.007893808345650389,0.00038861871828457296,0.0015573718339825483,Cattle,Meat,6.506833636193064,949.6170250351031,1.8992340500702061e-06,7.5969362002808245e-06
Cook Islands,cattle_meat,3.0,1.0009088733561944e-08,1.4882668060497906e-06,1.0096226273453686e-07,7.561280954762332e-07,Cattle,Meat,6.506833636193064,0.4610537425320132,9.221074850640264e-10,3.6884299402561054e-09
Costa Rica,cattle_meat,88595.0,0.001941246570295803,0.07909399265631678,0.0033300721733695534,0.022329722872905626,Cattle,Meat,6.506833636193064,13615.685439874569,2.7231370879749137e-05,0.00010892548351899655
Croatia,cattle_meat,45430.0,0.00018436550164400195,0.013319249598063018,0.000860050638401701,0.011450299792495091,Cattle,Meat,6.506833636193064,6981.89050774312,1.396378101548624e-05,5.585512406194496e-05
Cuba,cattle_meat,81366.0,0.0017828485629966513,0.0726402371067653,0.0030583515148528374,0.020507706205506397,Cattle,Meat,6.506833636193064,12504.69960495326,2.5009399209906523e-05,0.00010003759683962609
Cyprus,cattle_meat,5610.0,1.2822314141914474e-05,0.0035130308735455444,0.00035877107143958143,0.0014139595385405561,Cattle,Meat,6.506833636193064,862.1704985348647,1.7243409970697296e-06,6.897363988278918e-06
Czechia,cattle_meat,74450.0,0.0003415933813995366,0.017679416751181287,0.0008373895995714496,0.018764578902735186,Cattle,Meat,6.506833636193064,11441.817043836127,2.2883634087672252e-05,9.153453635068901e-05
Democratic People's Republic of Korea,cattle_meat,20848.0,0.00015469922372784046,0.019502692628305136,0.0008242382287426684,0.005254586178162836,Cattle,Meat,6.506833636193064,3204.0161414358035,6.4080322828716065e-06,2.5632129131486426e-05
Democratic Republic of the Congo,cattle_meat,20663.0,1.886033719495897e-05,0.026397436777176566,0.0012995676607726382,0.005207958278941802,Cattle,Meat,6.506833636193064,3175.584493979663,6.351168987959326e-06,2.5404675951837305e-05
Denmark,cattle_meat,125600.0,0.0005097139997025455,0.03682363525240403,0.002377775923030016,0.03165656293060496,Cattle,Meat,6.506833636193064,19302.78335400695,3.86055667080139e-05,0.0001544222668320556
